product_id,product_name,product_brand,product_category,sub_category,product_description,size,color,price,material,gender
775320,Vintage Jeans with Premium Fabric,Puma,Clothing,Jeans,Trendy and versatile clothing piece.,"M, L, XL",Red,8391.3,Cotton,Women
348872,Vintage Jacket with Eco-Friendly Fabric,Zara,Clothing,Jackets,A stylish and comfortable option for daily wear.,"M, L, XL",Red,11018.25,Cotton,Women
350247,Distressed Shirt with Fleece Fabric,Versace,Clothing,Shirts,Designed for both casual and formal occasions.,"S, M, L, XL",Brown,4371.610000000001,Wool,Women
773715,Acid Wash Jacket with Luxury Fabric,H&M,Clothing,Jackets,Designed for both casual and formal occasions.,"M, L, XL",Brown,4677.05,Leather,Women
724429,Embroidered Cargo Pants with Moisture-Wicking Fabric,Gucci,Clothing,Pants,Perfect fit with high-quality fabric.,"L, XL",Blue,9335.84,Wool,Men
831169,Fitted Shirt with Fleece Fabric,Adidas,Clothing,Shirts,Classic and modern design with premium materials.,"S, M, L",Green,10824.86,Silk,Women
443666,Printed Hoodie with Cotton Fabric,H&M,Clothing,Hoodies,Trendy and versatile clothing piece.,"XS, S, M, L",Green,12010.93,Cotton,Men
545130,Slim Fit Hoodie with Fleece Fabric,Tommy Hilfiger,Clothing,Hoodies,Designed for both casual and formal occasions.,"S, M, L, XL",Pink,16409.1,Denim,Women
970625,Embroidered Dress with Stretch Fabric,Adidas,Clothing,Dresses,Classic and modern design with premium materials.,"L, XL",Grey,8935.779999999999,Wool,Men
445200,Embroidered Sweatpants with Denim Fabric,Tommy Hilfiger,Clothing,Shirts,Classic and modern design with premium materials.,"S, M, L",Black,15774.15,Dry-Fit,Men
732487,Fitted Dress with Cotton Fabric,Nike,Clothing,Dresses,A stylish and comfortable option for daily wear.,One Size,Blue,2323.17,Leather,Unisex
118011,Distressed Dress with Luxury Fabric,Versace,Clothing,Dresses,Perfect fit with high-quality fabric.,"S, M, L, XL",Green,5594.200000000001,Wool,Unisex
384354,Ripped T-Shirt with Denim Fabric,H&M,Clothing,T-Shirts,Classic and modern design with premium materials.,One Size,Grey,14616.3,Linen,Unisex
919506,Slim Fit Blazer with Cotton Fabric,Gucci,Clothing,Blazers,Designed for both casual and formal occasions.,"XS, S, M, L",White,8258.5,Linen,Women
951761,Oversized Hoodie with Fleece Fabric,Zara,Clothing,Hoodies,Classic and modern design with premium materials.,"L, XL",Purple,8292.529999999999,Silk,Unisex
503961,Distressed T-Shirt with Fleece Fabric,Gucci,Clothing,T-Shirts,Trendy and versatile clothing piece.,"L, XL",Black,2938.2,Dry-Fit,Men
912661,Oversized Shirt with Cotton Fabric,Tommy Hilfiger,Clothing,Shirts,Perfect fit with high-quality fabric.,"M, L, XL",Black,9490.22,Polyester,Unisex
142005,Embroidered Jeans with Denim Fabric,Tommy Hilfiger,Clothing,Jeans,Perfect fit with high-quality fabric.,"S, M, L, XL",Grey,6102.99,Leather,Men
826132,Ripped Cargo Pants with Cotton Fabric,H&M,Clothing,Pants,A stylish and comfortable option for daily wear.,"M, L, XL",White,14549.07,Linen,Unisex
779936,Vintage Hoodie with Denim Fabric,Tommy Hilfiger,Clothing,Hoodies,A stylish and comfortable option for daily wear.,"XS, S, M, L",Purple,13807.88,Dry-Fit,Women
594972,Vintage Jacket with Lightweight Fabric,Gucci,Clothing,Jackets,Perfect fit with high-quality fabric.,One Size,White,8297.51,Cotton,Unisex
769499,Textured Tank Top with Stretch Fabric,Under Armour,Clothing,Tank Tops,Classic and modern design with premium materials.,"S, M, L, XL",Red,8454.38,Wool,Unisex
132249,Oversized Hoodie with Cotton Fabric,Versace,Clothing,Hoodies,Designed for both casual and formal occasions.,"S, M, L",Grey,12371.15,Leather,Unisex
582534,Fitted Hoodie with Luxury Fabric,Puma,Clothing,Hoodies,Classic and modern design with premium materials.,One Size,Brown,1909.0,Cotton,Men
663928,Printed Cargo Pants with Moisture-Wicking Fabric,Adidas,Clothing,Pants,Perfect fit with high-quality fabric.,"M, L, XL",Red,13051.75,Polyester,Women
289895,Textured Sweatpants with Eco-Friendly Fabric,Versace,Clothing,T-Shirts,Classic and modern design with premium materials.,"S, M, L, XL",Black,15373.26,Leather,Men
273914,Embroidered Shirt with Premium Fabric,Zara,Clothing,Shirts,Classic and modern design with premium materials.,"L, XL",Red,5580.09,Denim,Women
974884,Vintage Tank Top with Eco-Friendly Fabric,Tommy Hilfiger,Clothing,Tank Tops,Trendy and versatile clothing piece.,"S, M, L",Brown,11882.28,Polyester,Women
583519,Oversized Cargo Pants with Cotton Fabric,Under Armour,Clothing,Pants,Trendy and versatile clothing piece.,"L, XL",Red,2953.9700000000003,Denim,Unisex
247829,Distressed Jeans with Lightweight Fabric,Levi's,Clothing,Jeans,Perfect fit with high-quality fabric.,"S, M, L",Pink,8389.64,Cotton,Women
245031,Printed Cargo Pants with Breathable Fabric,Nike,Clothing,Pants,Perfect fit with high-quality fabric.,"S, M, L",Purple,7223.49,Linen,Women
305396,Printed Blazer with Moisture-Wicking Fabric,Gucci,Clothing,Blazers,Perfect fit with high-quality fabric.,"M, L, XL",Green,1308.91,Linen,Men
434954,Textured Tank Top with Fleece Fabric,Tommy Hilfiger,Clothing,Tank Tops,Perfect fit with high-quality fabric.,"S, M, L",Red,11642.410000000002,Silk,Unisex
778036,Slim Fit Tank Top with Denim Fabric,Levi's,Clothing,Tank Tops,Classic and modern design with premium materials.,"M, L, XL",Black,3184.71,Wool,Men
438736,Textured Cargo Pants with Stretch Fabric,H&M,Clothing,Pants,Perfect fit with high-quality fabric.,"S, M, L, XL",Blue,10121.02,Silk,Women
995617,Textured Blazer with Lightweight Fabric,Zara,Clothing,Blazers,Designed for both casual and formal occasions.,One Size,Grey,8738.24,Polyester,Women
342909,Vintage Jeans with Lightweight Fabric,Adidas,Clothing,Jeans,Classic and modern design with premium materials.,"S, M, L",Blue,4367.46,Linen,Men
739457,Oversized T-Shirt with Breathable Fabric,Versace,Clothing,T-Shirts,Designed for both casual and formal occasions.,"S, M, L, XL",Brown,12192.7,Cotton,Women
502213,Oversized Sweatpants with Fleece Fabric,Adidas,Clothing,Jeans,A stylish and comfortable option for daily wear.,"XS, S, M, L",Black,8109.929999999999,Polyester,Women
412888,Fitted Blazer with Fleece Fabric,Tommy Hilfiger,Clothing,Blazers,A stylish and comfortable option for daily wear.,"L, XL",White,11232.39,Dry-Fit,Women
824933,Ripped Jeans with Lightweight Fabric,Gucci,Clothing,Jeans,Trendy and versatile clothing piece.,"L, XL",Black,14564.01,Leather,Women
321969,Acid Wash Sweatpants with Lightweight Fabric,H&M,Clothing,Dresses,A stylish and comfortable option for daily wear.,"L, XL",Red,3271.86,Cotton,Women
723626,Oversized Tank Top with Fleece Fabric,Levi's,Clothing,Tank Tops,A stylish and comfortable option for daily wear.,"L, XL",Brown,13559.71,Denim,Women
773187,Slim Fit Shirt with Moisture-Wicking Fabric,Levi's,Clothing,Shirts,Perfect fit with high-quality fabric.,"M, L, XL",Black,3378.9300000000003,Cotton,Unisex
767442,Slim Fit Cargo Pants with Luxury Fabric,Levi's,Clothing,Pants,Trendy and versatile clothing piece.,"S, M, L",Green,11336.14,Cotton,Women
694811,Slim Fit Jeans with Lightweight Fabric,Versace,Clothing,Jeans,A stylish and comfortable option for daily wear.,"S, M, L",Yellow,9037.04,Leather,Men
379264,Acid Wash Jeans with Eco-Friendly Fabric,Puma,Clothing,Jeans,Classic and modern design with premium materials.,"S, M, L, XL",Grey,11370.17,Cotton,Unisex
148197,Oversized Cargo Pants with Luxury Fabric,Puma,Clothing,Pants,Perfect fit with high-quality fabric.,"XS, S, M, L",Pink,11292.15,Silk,Men
793773,Vintage Blazer with Eco-Friendly Fabric,H&M,Clothing,Blazers,Trendy and versatile clothing piece.,"M, L, XL",Red,3138.23,Polyester,Unisex
601080,Distressed T-Shirt with Lightweight Fabric,Versace,Clothing,T-Shirts,Trendy and versatile clothing piece.,"XS, S, M, L",Brown,1259.11,Polyester,Women
222037,Distressed Sweatpants with Fleece Fabric,Zara,Clothing,Shorts,Perfect fit with high-quality fabric.,"S, M, L",Grey,1333.81,Wool,Unisex
481753,Distressed T-Shirt with Lightweight Fabric,H&M,Clothing,T-Shirts,Classic and modern design with premium materials.,One Size,Purple,4198.97,Polyester,Men
923747,Oversized Jeans with Premium Fabric,H&M,Clothing,Jeans,Trendy and versatile clothing piece.,"S, M, L",Blue,7550.51,Silk,Men
100978,Ripped Tank Top with Denim Fabric,Levi's,Clothing,Tank Tops,Designed for both casual and formal occasions.,One Size,Black,13766.38,Wool,Women
460607,Printed Tank Top with Stretch Fabric,Versace,Clothing,Tank Tops,A stylish and comfortable option for daily wear.,"M, L, XL",Purple,14795.58,Silk,Unisex
495479,Distressed Sweatpants with Luxury Fabric,Gucci,Clothing,Tops,Classic and modern design with premium materials.,"XS, S, M, L",Pink,5687.99,Wool,Unisex
640615,Fitted Sweatpants with Breathable Fabric,Adidas,Clothing,Shorts,Trendy and versatile clothing piece.,"L, XL",Black,2273.37,Denim,Women
206924,Fitted Sweatpants with Denim Fabric,Levi's,Clothing,Jackets,Trendy and versatile clothing piece.,"S, M, L",Grey,13563.03,Leather,Women
241756,Embroidered Shirt with Lightweight Fabric,H&M,Clothing,Shirts,A stylish and comfortable option for daily wear.,"XS, S, M, L",Yellow,870.6700000000001,Dry-Fit,Unisex
128364,Ripped Tank Top with Cotton Fabric,Zara,Clothing,Tank Tops,Trendy and versatile clothing piece.,"M, L, XL",Green,6453.25,Leather,Unisex
270079,Oversized Cargo Pants with Breathable Fabric,Tommy Hilfiger,Clothing,Pants,Trendy and versatile clothing piece.,"XS, S, M, L",Grey,11074.69,Dry-Fit,Women
782204,Printed T-Shirt with Lightweight Fabric,Tommy Hilfiger,Clothing,T-Shirts,Perfect fit with high-quality fabric.,One Size,Pink,2002.79,Wool,Women
313156,Slim Fit Tank Top with Luxury Fabric,Tommy Hilfiger,Clothing,Tank Tops,Trendy and versatile clothing piece.,"XS, S, M, L",White,12718.92,Linen,Men
301299,Distressed Jeans with Premium Fabric,Under Armour,Clothing,Jeans,Perfect fit with high-quality fabric.,One Size,Brown,16122.75,Denim,Women
862317,Fitted Sweatpants with Premium Fabric,Levi's,Clothing,Jackets,Classic and modern design with premium materials.,"L, XL",Blue,14038.62,Polyester,Men
496635,Fitted Jeans with Denim Fabric,H&M,Clothing,Jeans,Trendy and versatile clothing piece.,"S, M, L, XL",Blue,15755.06,Cotton,Unisex
188438,Distressed Cargo Pants with Denim Fabric,Versace,Clothing,Pants,Perfect fit with high-quality fabric.,One Size,Brown,16168.4,Leather,Women
414577,Printed Jeans with Moisture-Wicking Fabric,Zara,Clothing,Jeans,A stylish and comfortable option for daily wear.,"S, M, L",Black,15288.6,Linen,Women
697189,Printed Dress with Cotton Fabric,Gucci,Clothing,Dresses,Perfect fit with high-quality fabric.,"M, L, XL",White,1030.86,Polyester,Women
749003,Acid Wash Sweatpants with Fleece Fabric,Nike,Clothing,Blazers,Perfect fit with high-quality fabric.,"S, M, L, XL",Purple,13423.589999999998,Linen,Men
929382,Distressed Tank Top with Moisture-Wicking Fabric,Zara,Clothing,Tank Tops,Trendy and versatile clothing piece.,"XS, S, M, L",Blue,14926.72,Polyester,Unisex
840307,Textured Shirt with Premium Fabric,Under Armour,Clothing,Shirts,A stylish and comfortable option for daily wear.,"L, XL",Brown,7359.610000000001,Linen,Men
168627,Acid Wash Jacket with Eco-Friendly Fabric,Gucci,Clothing,Jackets,Classic and modern design with premium materials.,"S, M, L",Green,2939.86,Linen,Women
199250,Ripped T-Shirt with Premium Fabric,Gucci,Clothing,T-Shirts,A stylish and comfortable option for daily wear.,"S, M, L, XL",Grey,4151.66,Leather,Unisex
358523,Distressed Hoodie with Eco-Friendly Fabric,Gucci,Clothing,Hoodies,Trendy and versatile clothing piece.,"M, L, XL",Pink,15129.24,Wool,Unisex
936842,Oversized Jeans with Lightweight Fabric,Gucci,Clothing,Jeans,Perfect fit with high-quality fabric.,"S, M, L, XL",Purple,5561.0,Cotton,Women
763149,Textured T-Shirt with Cotton Fabric,Under Armour,Clothing,T-Shirts,Designed for both casual and formal occasions.,One Size,Blue,15711.9,Denim,Women
683836,Textured Sweatpants with Denim Fabric,Nike,Clothing,Shirts,Trendy and versatile clothing piece.,One Size,Purple,9278.57,Dry-Fit,Unisex
810777,Fitted Jeans with Denim Fabric,Zara,Clothing,Jeans,Classic and modern design with premium materials.,"S, M, L",White,9669.5,Linen,Men
361764,Ripped T-Shirt with Fleece Fabric,Adidas,Clothing,T-Shirts,A stylish and comfortable option for daily wear.,"S, M, L, XL",Black,4358.33,Polyester,Women
296141,Oversized T-Shirt with Fleece Fabric,Under Armour,Clothing,T-Shirts,Perfect fit with high-quality fabric.,"L, XL",White,13723.22,Polyester,Men
193759,Ripped Blazer with Cotton Fabric,Levi's,Clothing,Blazers,Classic and modern design with premium materials.,One Size,Red,5151.81,Denim,Men
362598,Distressed Dress with Denim Fabric,Nike,Clothing,Dresses,A stylish and comfortable option for daily wear.,"XS, S, M, L",Brown,11640.75,Silk,Men
345402,Acid Wash Shirt with Premium Fabric,Versace,Clothing,Shirts,Trendy and versatile clothing piece.,"S, M, L, XL",Purple,11345.27,Silk,Women
113440,Oversized Shirt with Breathable Fabric,H&M,Clothing,Shirts,Trendy and versatile clothing piece.,"S, M, L, XL",Pink,8094.99,Denim,Women
945807,Embroidered Hoodie with Moisture-Wicking Fabric,H&M,Clothing,Hoodies,Classic and modern design with premium materials.,"XS, S, M, L",Pink,12614.339999999998,Leather,Unisex
896596,Fitted Hoodie with Eco-Friendly Fabric,Under Armour,Clothing,Hoodies,Classic and modern design with premium materials.,"XS, S, M, L",Red,6339.54,Silk,Women
607000,Textured Tank Top with Moisture-Wicking Fabric,Nike,Clothing,Tank Tops,Classic and modern design with premium materials.,"L, XL",Green,7421.03,Cotton,Women
496215,Textured Cargo Pants with Breathable Fabric,Under Armour,Clothing,Pants,A stylish and comfortable option for daily wear.,"M, L, XL",Red,10057.94,Leather,Men
341049,Embroidered Dress with Moisture-Wicking Fabric,Under Armour,Clothing,Dresses,Trendy and versatile clothing piece.,"S, M, L",Brown,2621.97,Dry-Fit,Men
743168,Textured Shirt with Breathable Fabric,Zara,Clothing,Shirts,Trendy and versatile clothing piece.,"XS, S, M, L",White,8270.12,Polyester,Women
396812,Fitted Shirt with Luxury Fabric,Versace,Clothing,Shirts,Classic and modern design with premium materials.,One Size,Red,6910.580000000001,Polyester,Men
811766,Fitted Hoodie with Stretch Fabric,Nike,Clothing,Hoodies,Designed for both casual and formal occasions.,"S, M, L, XL",Yellow,4936.01,Cotton,Men
243023,Textured Jacket with Eco-Friendly Fabric,Tommy Hilfiger,Clothing,Jackets,A stylish and comfortable option for daily wear.,"S, M, L, XL",Green,11053.94,Dry-Fit,Unisex
859137,Printed Tank Top with Lightweight Fabric,Adidas,Clothing,Tank Tops,Classic and modern design with premium materials.,"L, XL",White,3358.1800000000003,Silk,Unisex
927690,Distressed Cargo Pants with Stretch Fabric,Puma,Clothing,Pants,A stylish and comfortable option for daily wear.,One Size,White,4239.639999999999,Dry-Fit,Unisex
339950,Printed Dress with Denim Fabric,Puma,Clothing,Dresses,A stylish and comfortable option for daily wear.,"S, M, L",Red,16597.51,Denim,Unisex
412138,Vintage Shirt with Stretch Fabric,Nike,Clothing,Shirts,Classic and modern design with premium materials.,"XS, S, M, L",Yellow,890.59,Silk,Men
627958,Distressed Sweatpants with Eco-Friendly Fabric,Gucci,Clothing,T-Shirts,Trendy and versatile clothing piece.,"S, M, L, XL",Yellow,9393.11,Silk,Women
280731,Ripped Tank Top with Premium Fabric,Versace,Clothing,Tank Tops,Trendy and versatile clothing piece.,"S, M, L, XL",Red,12021.72,Cotton,Unisex
730821,Vintage Hoodie with Eco-Friendly Fabric,Gucci,Clothing,Hoodies,Perfect fit with high-quality fabric.,"S, M, L",Red,7973.809999999999,Dry-Fit,Men
719346,Fitted T-Shirt with Fleece Fabric,Levi's,Clothing,T-Shirts,Classic and modern design with premium materials.,"M, L, XL",Red,16590.04,Leather,Unisex
487547,Slim Fit Sweatpants with Lightweight Fabric,Nike,Clothing,Pants,Perfect fit with high-quality fabric.,"S, M, L",White,14720.88,Denim,Unisex
757160,Embroidered Dress with Denim Fabric,Adidas,Clothing,Dresses,Perfect fit with high-quality fabric.,One Size,Black,12075.67,Linen,Men
739379,Textured Blazer with Eco-Friendly Fabric,Nike,Clothing,Blazers,Perfect fit with high-quality fabric.,"S, M, L, XL",Black,10679.61,Polyester,Men
905147,Fitted Jacket with Breathable Fabric,Tommy Hilfiger,Clothing,Jackets,A stylish and comfortable option for daily wear.,"S, M, L",Blue,2285.82,Silk,Men
905835,Slim Fit Sweatpants with Lightweight Fabric,Tommy Hilfiger,Clothing,Shirts,A stylish and comfortable option for daily wear.,"M, L, XL",Green,15164.1,Dry-Fit,Women
349846,Slim Fit Shirt with Lightweight Fabric,Tommy Hilfiger,Clothing,Shirts,A stylish and comfortable option for daily wear.,"XS, S, M, L",Grey,9730.09,Cotton,Women
157996,Oversized Tank Top with Luxury Fabric,Nike,Clothing,Tank Tops,Trendy and versatile clothing piece.,"XS, S, M, L",Black,7652.6,Linen,Men
579650,Ripped Cargo Pants with Denim Fabric,Nike,Clothing,Pants,Classic and modern design with premium materials.,"M, L, XL",Blue,12947.17,Linen,Women
300731,Embroidered Sweatpants with Stretch Fabric,Gucci,Clothing,Jeans,A stylish and comfortable option for daily wear.,"XS, S, M, L",Purple,6239.9400000000005,Polyester,Women
